"subNumber","automation","nback","runNumber","eventType","type","steering","rt","jerk","minTTC","crash","Age"
12,"PAD","2-Back",2,"RIGHT_PEDESTRIAN","Mainly brake",0,2.80000000000001,0.909101887523585,0,1,50
12,"PAD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,0.616700000000037,1.05242005529188,0.505530582478875,0,50
12,"PAD","2-Back",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.61669999999998,1.09550579051578,1.92218026818906,0,50
12,"MD","2-Back",3,"ONCOMING_VEHICLES","Mainly brake",0,1.33329999999995,1.11899837924612,0,1,50
12,"MD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,2.26660000000001,1.11826765673873,2.28088528532063,0,50
12,"MD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,0.91659999999996,-2.01078201327906,0,1,50
12,"MD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.83330000000001,1.41926080925903,1.78535720738359,0,50
13,"MD","2-Back",1,"RIGHT_PEDESTRIAN","Mainly brake",0,1.09999999999999,-0.345851986642658,1.15782443623639,0,33
13,"MD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.61659999999995,-0.164686160304267,2.03599548244431,0,33
13,"MD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,0.766700000000014,1.67021669990366,0,1,33
13,"MD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,-0.566700000000026,-1.19251035816984,1.71228254979472,0,33
13,"MD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.13330000000002,0.0363203225603375,1.87718345243519,0,33
13,"MD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.23340000000002,-1.50669180213841,1.86934808178547,0,33
13,"PAD","No Task",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.26660000000004,-0.26032494990308,2.1300415167687,0,33
13,"PAD","No Task",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.41659999999996,-0.134982500822325,1.97189851388012,0,33
13,"PAD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,-1.83330000000001,-1.74009500560272,0.999478258514975,0,33
13,"PAD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,-1.9667,-1.70745503220051,1.14262138091125,0,33
13,"PAD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.48329999999999,-0.737919841264052,1.14853443075709,0,33
13,"PAD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.71669999999995,-1.16725017627912,0.897818143738934,0,33
14,"MD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,0.850000000000023,1.24113769506587,0.191870869850854,0,39
